Empirical aplication  usElectricity  has began at: 2023-06-30 14:50:49 
Batch 219 / 1000  time:  2023-07-02 10:00:59 
Batch 220 / 1000  time:  2023-07-02 10:12:48 
Batch 221 / 1000  time:  2023-07-02 10:24:36 
Batch 222 / 1000  time:  2023-07-02 10:36:25 
Batch 223 / 1000  time:  2023-07-02 10:48:13 
Batch 224 / 1000  time:  2023-07-02 11:00:00 
Batch 225 / 1000  time:  2023-07-02 11:11:51 
Batch 226 / 1000  time:  2023-07-02 11:23:40 
Batch 227 / 1000  time:  2023-07-02 11:35:19 
Batch 228 / 1000  time:  2023-07-02 11:47:00 
Batch 229 / 1000  time:  2023-07-02 11:58:42 
Batch 230 / 1000  time:  2023-07-02 12:10:26 
Batch 231 / 1000  time:  2023-07-02 12:22:12 
Batch 232 / 1000  time:  2023-07-02 12:34:00 
Batch 233 / 1000  time:  2023-07-02 12:45:47 
Batch 234 / 1000  time:  2023-07-02 12:57:29 
Batch 235 / 1000  time:  2023-07-02 13:09:10 
Batch 236 / 1000  time:  2023-07-02 13:21:03 
Batch 237 / 1000  time:  2023-07-02 13:32:45 
Batch 238 / 1000  time:  2023-07-02 13:44:32 
Batch 239 / 1000  time:  2023-07-02 13:56:24 
Batch 240 / 1000  time:  2023-07-02 14:08:06 
Batch 241 / 1000  time:  2023-07-02 14:20:06 
Batch 242 / 1000  time:  2023-07-02 14:31:48 
Batch 243 / 1000  time:  2023-07-02 14:43:29 
Batch 244 / 1000  time:  2023-07-02 14:55:08 
Batch 245 / 1000  time:  2023-07-02 15:06:50 
Batch 246 / 1000  time:  2023-07-02 15:18:34 
Batch 247 / 1000  time:  2023-07-02 15:30:30 
Batch 248 / 1000  time:  2023-07-02 15:42:22 
Batch 249 / 1000  time:  2023-07-02 15:54:03 
Batch 250 / 1000  time:  2023-07-02 16:05:53 
Batch 251 / 1000  time:  2023-07-02 16:17:51 
Batch 252 / 1000  time:  2023-07-02 16:29:36 
Batch 253 / 1000  time:  2023-07-02 16:41:25 
Batch 254 / 1000  time:  2023-07-02 16:53:19 
Batch 255 / 1000  time:  2023-07-02 17:05:08 
Batch 256 / 1000  time:  2023-07-02 17:17:01 
Batch 257 / 1000  time:  2023-07-02 17:28:52 
Batch 258 / 1000  time:  2023-07-02 17:40:36 
Batch 259 / 1000  time:  2023-07-02 17:52:20 
Batch 260 / 1000  time:  2023-07-02 18:04:08 
Batch 261 / 1000  time:  2023-07-02 18:16:03 
Batch 262 / 1000  time:  2023-07-02 18:27:54 
Batch 263 / 1000  time:  2023-07-02 18:39:41 
Batch 264 / 1000  time:  2023-07-02 18:51:31 
Batch 265 / 1000  time:  2023-07-02 19:03:18 
Batch 266 / 1000  time:  2023-07-02 19:15:08 
Batch 267 / 1000  time:  2023-07-02 19:26:54 
Batch 268 / 1000  time:  2023-07-02 19:38:45 
Batch 269 / 1000  time:  2023-07-02 19:50:36 
Batch 270 / 1000  time:  2023-07-02 20:02:31 
Batch 271 / 1000  time:  2023-07-02 20:14:22 
Batch 272 / 1000  time:  2023-07-02 20:26:10 
Batch 273 / 1000  time:  2023-07-02 20:37:59 
Batch 274 / 1000  time:  2023-07-02 20:49:45 
Batch 275 / 1000  time:  2023-07-02 21:01:33 
Batch 276 / 1000  time:  2023-07-02 21:13:29 
Batch 277 / 1000  time:  2023-07-02 21:25:16 
Batch 278 / 1000  time:  2023-07-02 21:37:10 
Batch 279 / 1000  time:  2023-07-02 21:48:56 
Batch 280 / 1000  time:  2023-07-02 22:00:46 
Batch 281 / 1000  time:  2023-07-02 22:12:32 
Batch 282 / 1000  time:  2023-07-02 22:24:19 
Batch 283 / 1000  time:  2023-07-02 22:36:06 
Batch 284 / 1000  time:  2023-07-02 22:47:52 
Batch 285 / 1000  time:  2023-07-02 22:59:38 
Batch 286 / 1000  time:  2023-07-02 23:11:26 
Batch 287 / 1000  time:  2023-07-02 23:23:12 
Batch 288 / 1000  time:  2023-07-02 23:34:56 
Batch 289 / 1000  time:  2023-07-02 23:46:42 
Batch 290 / 1000  time:  2023-07-02 23:58:30 
Batch 291 / 1000  time:  2023-07-03 00:10:21 
Batch 292 / 1000  time:  2023-07-03 00:22:08 
Batch 293 / 1000  time:  2023-07-03 00:33:58 
Batch 294 / 1000  time:  2023-07-03 00:45:46 
Batch 295 / 1000  time:  2023-07-03 00:57:34 
Batch 296 / 1000  time:  2023-07-03 01:09:19 
Batch 297 / 1000  time:  2023-07-03 01:21:06 
Batch 298 / 1000  time:  2023-07-03 01:32:54 
Batch 299 / 1000  time:  2023-07-03 01:44:41 
Batch 300 / 1000  time:  2023-07-03 01:56:31 
Batch 301 / 1000  time:  2023-07-03 02:08:21 
Batch 302 / 1000  time:  2023-07-03 02:20:06 
Batch 303 / 1000  time:  2023-07-03 02:31:56 
Batch 304 / 1000  time:  2023-07-03 02:43:43 
Batch 305 / 1000  time:  2023-07-03 02:55:28 
Batch 306 / 1000  time:  2023-07-03 03:07:16 
Batch 307 / 1000  time:  2023-07-03 03:19:07 
Batch 308 / 1000  time:  2023-07-03 03:30:58 
Batch 309 / 1000  time:  2023-07-03 03:42:48 
Batch 310 / 1000  time:  2023-07-03 03:54:33 
Batch 311 / 1000  time:  2023-07-03 04:06:18 
Batch 312 / 1000  time:  2023-07-03 04:18:04 
Batch 313 / 1000  time:  2023-07-03 04:29:50 
Batch 314 / 1000  time:  2023-07-03 04:41:40 
Batch 315 / 1000  time:  2023-07-03 04:53:29 
Batch 316 / 1000  time:  2023-07-03 05:05:16 
Batch 317 / 1000  time:  2023-07-03 05:17:03 
Batch 318 / 1000  time:  2023-07-03 05:28:51 
Batch 319 / 1000  time:  2023-07-03 05:40:39 
Batch 320 / 1000  time:  2023-07-03 05:52:30 
Batch 321 / 1000  time:  2023-07-03 06:04:18 
Batch 322 / 1000  time:  2023-07-03 06:16:04 
Batch 323 / 1000  time:  2023-07-03 06:27:50 
Batch 324 / 1000  time:  2023-07-03 06:39:36 
Batch 325 / 1000  time:  2023-07-03 06:51:22 
Batch 326 / 1000  time:  2023-07-03 07:03:07 
Batch 327 / 1000  time:  2023-07-03 07:15:01 
Batch 328 / 1000  time:  2023-07-03 07:26:46 
Batch 329 / 1000  time:  2023-07-03 07:38:32 
Batch 330 / 1000  time:  2023-07-03 07:50:15 
Batch 331 / 1000  time:  2023-07-03 08:02:08 
Batch 332 / 1000  time:  2023-07-03 08:13:59 
Batch 333 / 1000  time:  2023-07-03 08:25:46 
Batch 334 / 1000  time:  2023-07-03 08:37:32 
Batch 335 / 1000  time:  2023-07-03 08:49:20 
Batch 336 / 1000  time:  2023-07-03 09:01:09 
Batch 337 / 1000  time:  2023-07-03 09:12:57 
Batch 338 / 1000  time:  2023-07-03 09:24:45 
Batch 339 / 1000  time:  2023-07-03 09:36:33 
Batch 340 / 1000  time:  2023-07-03 09:48:21 
Batch 341 / 1000  time:  2023-07-03 10:00:07 
Batch 342 / 1000  time:  2023-07-03 10:11:53 
Batch 343 / 1000  time:  2023-07-03 10:23:39 
Batch 344 / 1000  time:  2023-07-03 10:35:25 
Batch 345 / 1000  time:  2023-07-03 10:47:13 
Batch 346 / 1000  time:  2023-07-03 10:59:01 
Batch 347 / 1000  time:  2023-07-03 11:10:50 
Batch 348 / 1000  time:  2023-07-03 11:22:36 
Batch 349 / 1000  time:  2023-07-03 11:34:23 
Batch 350 / 1000  time:  2023-07-03 11:46:09 
Batch 351 / 1000  time:  2023-07-03 11:57:56 
Batch 352 / 1000  time:  2023-07-03 12:09:48 
Batch 353 / 1000  time:  2023-07-03 12:21:33 
Batch 354 / 1000  time:  2023-07-03 12:33:21 
Batch 355 / 1000  time:  2023-07-03 12:45:08 
Batch 356 / 1000  time:  2023-07-03 12:56:59 
Batch 357 / 1000  time:  2023-07-03 13:08:45 
Batch 358 / 1000  time:  2023-07-03 13:20:33 
Batch 359 / 1000  time:  2023-07-03 13:32:21 
Batch 360 / 1000  time:  2023-07-03 13:44:06 
Batch 361 / 1000  time:  2023-07-03 13:55:55 
Batch 362 / 1000  time:  2023-07-03 14:07:47 
Batch 363 / 1000  time:  2023-07-03 14:19:45 
Batch 364 / 1000  time:  2023-07-03 14:31:41 
Batch 365 / 1000  time:  2023-07-03 14:43:25 
Batch 366 / 1000  time:  2023-07-03 14:55:24 
Batch 367 / 1000  time:  2023-07-03 15:07:22 
Batch 368 / 1000  time:  2023-07-03 15:19:14 
Batch 369 / 1000  time:  2023-07-03 15:31:10 
Batch 370 / 1000  time:  2023-07-03 15:43:09 
Batch 371 / 1000  time:  2023-07-03 15:54:53 
Batch 372 / 1000  time:  2023-07-03 16:06:41 
Batch 373 / 1000  time:  2023-07-03 16:18:29 
Batch 374 / 1000  time:  2023-07-03 16:30:24 
Batch 375 / 1000  time:  2023-07-03 16:42:11 
Batch 376 / 1000  time:  2023-07-03 16:53:56 
Batch 377 / 1000  time:  2023-07-03 17:05:48 
Batch 378 / 1000  time:  2023-07-03 17:17:33 
Batch 379 / 1000  time:  2023-07-03 17:29:19 
Batch 380 / 1000  time:  2023-07-03 17:41:11 
Batch 381 / 1000  time:  2023-07-03 17:52:56 
Batch 382 / 1000  time:  2023-07-03 18:04:42 
Batch 383 / 1000  time:  2023-07-03 18:16:41 
Batch 384 / 1000  time:  2023-07-03 18:28:24 
Batch 385 / 1000  time:  2023-07-03 18:40:10 
Batch 386 / 1000  time:  2023-07-03 18:52:00 
Batch 387 / 1000  time:  2023-07-03 19:03:50 
Batch 388 / 1000  time:  2023-07-03 19:15:35 
Batch 389 / 1000  time:  2023-07-03 19:27:32 
Batch 390 / 1000  time:  2023-07-03 19:39:28 
Batch 391 / 1000  time:  2023-07-03 19:51:18 
Batch 392 / 1000  time:  2023-07-03 20:03:03 
Batch 393 / 1000  time:  2023-07-03 20:14:46 
Batch 394 / 1000  time:  2023-07-03 20:26:32 
Batch 395 / 1000  time:  2023-07-03 20:38:16 
Batch 396 / 1000  time:  2023-07-03 20:50:00 
Batch 397 / 1000  time:  2023-07-03 21:01:45 
Batch 398 / 1000  time:  2023-07-03 21:13:29 
Batch 399 / 1000  time:  2023-07-03 21:25:13 
Batch 400 / 1000  time:  2023-07-03 21:36:56 
Batch 401 / 1000  time:  2023-07-03 21:48:42 
Batch 402 / 1000  time:  2023-07-03 22:00:35 
Batch 403 / 1000  time:  2023-07-03 22:12:27 
Batch 404 / 1000  time:  2023-07-03 22:24:17 
Batch 405 / 1000  time:  2023-07-03 22:36:03 
Batch 406 / 1000  time:  2023-07-03 22:47:53 
Batch 407 / 1000  time:  2023-07-03 22:59:45 
Batch 408 / 1000  time:  2023-07-03 23:11:28 
Batch 409 / 1000  time:  2023-07-03 23:23:12 
Batch 410 / 1000  time:  2023-07-03 23:34:57 
Batch 411 / 1000  time:  2023-07-03 23:46:46 
Batch 412 / 1000  time:  2023-07-03 23:58:42 
Batch 413 / 1000  time:  2023-07-04 00:10:28 
Batch 414 / 1000  time:  2023-07-04 00:22:18 
Batch 415 / 1000  time:  2023-07-04 00:34:08 
Batch 416 / 1000  time:  2023-07-04 00:45:56 
Batch 417 / 1000  time:  2023-07-04 00:57:47 
Batch 418 / 1000  time:  2023-07-04 01:09:31 
Batch 419 / 1000  time:  2023-07-04 01:21:16 
Batch 420 / 1000  time:  2023-07-04 01:33:00 
Batch 421 / 1000  time:  2023-07-04 01:44:44 
Batch 422 / 1000  time:  2023-07-04 01:56:29 
Batch 423 / 1000  time:  2023-07-04 02:08:13 
Batch 424 / 1000  time:  2023-07-04 02:19:57 
Batch 425 / 1000  time:  2023-07-04 02:31:43 
Batch 426 / 1000  time:  2023-07-04 02:43:26 
Batch 427 / 1000  time:  2023-07-04 02:55:12 
Batch 428 / 1000  time:  2023-07-04 03:06:59 
Batch 429 / 1000  time:  2023-07-04 03:18:42 
Batch 430 / 1000  time:  2023-07-04 03:30:32 
Batch 431 / 1000  time:  2023-07-04 03:42:16 
Batch 432 / 1000  time:  2023-07-04 03:54:00 
Batch 433 / 1000  time:  2023-07-04 04:05:43 
Batch 434 / 1000  time:  2023-07-04 04:17:29 
Batch 435 / 1000  time:  2023-07-04 04:29:13 
Batch 436 / 1000  time:  2023-07-04 04:41:03 
Batch 437 / 1000  time:  2023-07-04 04:52:53 
Batch 438 / 1000  time:  2023-07-04 05:04:39 
Batch 439 / 1000  time:  2023-07-04 05:16:23 
Batch 440 / 1000  time:  2023-07-04 05:28:08 
Batch 441 / 1000  time:  2023-07-04 05:39:54 
Batch 442 / 1000  time:  2023-07-04 05:51:41 
Batch 443 / 1000  time:  2023-07-04 06:03:31 
Batch 444 / 1000  time:  2023-07-04 06:15:14 
Batch 445 / 1000  time:  2023-07-04 06:26:59 
Batch 446 / 1000  time:  2023-07-04 06:38:44 
Batch 447 / 1000  time:  2023-07-04 06:50:34 
Batch 448 / 1000  time:  2023-07-04 07:02:17 
Batch 449 / 1000  time:  2023-07-04 07:14:01 
Batch 450 / 1000  time:  2023-07-04 07:25:45 
Batch 451 / 1000  time:  2023-07-04 07:37:31 
Batch 452 / 1000  time:  2023-07-04 07:49:23 
Batch 453 / 1000  time:  2023-07-04 08:01:09 
Batch 454 / 1000  time:  2023-07-04 08:12:56 
Batch 455 / 1000  time:  2023-07-04 08:24:48 
Batch 456 / 1000  time:  2023-07-04 08:36:35 
Batch 457 / 1000  time:  2023-07-04 08:48:19 
Batch 458 / 1000  time:  2023-07-04 09:00:02 
Batch 459 / 1000  time:  2023-07-04 09:11:46 
Batch 460 / 1000  time:  2023-07-04 09:23:39 
Batch 461 / 1000  time:  2023-07-04 09:35:25 
Batch 462 / 1000  time:  2023-07-04 09:47:08 
Batch 463 / 1000  time:  2023-07-04 09:58:58 
Batch 464 / 1000  time:  2023-07-04 10:10:44 
Batch 465 / 1000  time:  2023-07-04 10:22:28 
Batch 466 / 1000  time:  2023-07-04 10:34:10 
Batch 467 / 1000  time:  2023-07-04 10:45:54 
Batch 468 / 1000  time:  2023-07-04 10:57:40 
Batch 469 / 1000  time:  2023-07-04 11:09:24 
Batch 470 / 1000  time:  2023-07-04 11:21:16 
Batch 471 / 1000  time:  2023-07-04 11:33:03 
Batch 472 / 1000  time:  2023-07-04 11:44:59 
Batch 473 / 1000  time:  2023-07-04 11:56:44 
Batch 474 / 1000  time:  2023-07-04 12:08:27 
Batch 475 / 1000  time:  2023-07-04 12:20:13 
Batch 476 / 1000  time:  2023-07-04 12:31:58 
Batch 477 / 1000  time:  2023-07-04 12:43:45 
Batch 478 / 1000  time:  2023-07-04 12:55:29 
Batch 479 / 1000  time:  2023-07-04 13:07:21 
Batch 480 / 1000  time:  2023-07-04 13:19:12 
Batch 481 / 1000  time:  2023-07-04 13:30:55 
Batch 482 / 1000  time:  2023-07-04 13:42:45 
Batch 483 / 1000  time:  2023-07-04 13:54:30 
Batch 484 / 1000  time:  2023-07-04 14:06:15 
Batch 485 / 1000  time:  2023-07-04 14:17:58 
Batch 486 / 1000  time:  2023-07-04 14:29:42 
Batch 487 / 1000  time:  2023-07-04 14:41:27 
Batch 488 / 1000  time:  2023-07-04 14:53:11 
Batch 489 / 1000  time:  2023-07-04 15:04:54 
Batch 490 / 1000  time:  2023-07-04 15:16:39 
Batch 491 / 1000  time:  2023-07-04 15:28:22 
Batch 492 / 1000  time:  2023-07-04 15:40:08 
Batch 493 / 1000  time:  2023-07-04 15:51:52 
Batch 494 / 1000  time:  2023-07-04 16:03:43 
Batch 495 / 1000  time:  2023-07-04 16:15:25 
Batch 496 / 1000  time:  2023-07-04 16:27:11 
