Empirical aplication  spainDairy  has began at: 2023-06-16 22:12:27 
Batch 47 / 1000  time:  2023-06-17 09:34:55 
Batch 48 / 1000  time:  2023-06-17 09:49:12 
Batch 49 / 1000  time:  2023-06-17 10:03:39 
Batch 50 / 1000  time:  2023-06-17 10:18:11 
Batch 51 / 1000  time:  2023-06-17 10:32:28 
Batch 52 / 1000  time:  2023-06-17 10:46:43 
Batch 53 / 1000  time:  2023-06-17 11:01:00 
Batch 54 / 1000  time:  2023-06-17 11:15:24 
Batch 55 / 1000  time:  2023-06-17 11:29:40 
Batch 56 / 1000  time:  2023-06-17 11:43:56 
Batch 57 / 1000  time:  2023-06-17 11:58:12 
Batch 58 / 1000  time:  2023-06-17 12:12:37 
Batch 59 / 1000  time:  2023-06-17 12:27:00 
Batch 60 / 1000  time:  2023-06-17 12:41:23 
Batch 61 / 1000  time:  2023-06-17 12:55:46 
Batch 62 / 1000  time:  2023-06-17 13:10:05 
Batch 63 / 1000  time:  2023-06-17 13:24:39 
Batch 64 / 1000  time:  2023-06-17 13:38:53 
Batch 65 / 1000  time:  2023-06-17 13:53:15 
Batch 66 / 1000  time:  2023-06-17 14:07:30 
Batch 67 / 1000  time:  2023-06-17 14:21:52 
Batch 68 / 1000  time:  2023-06-17 14:36:08 
Batch 69 / 1000  time:  2023-06-17 14:50:26 
Batch 70 / 1000  time:  2023-06-17 15:04:44 
Batch 71 / 1000  time:  2023-06-17 15:18:58 
Batch 72 / 1000  time:  2023-06-17 15:33:13 
Batch 73 / 1000  time:  2023-06-17 15:47:37 
Batch 74 / 1000  time:  2023-06-17 16:02:00 
Batch 75 / 1000  time:  2023-06-17 16:16:18 
Batch 76 / 1000  time:  2023-06-17 16:30:34 
Batch 77 / 1000  time:  2023-06-17 16:45:00 
Batch 78 / 1000  time:  2023-06-17 16:59:17 
Batch 79 / 1000  time:  2023-06-17 17:13:32 
Batch 80 / 1000  time:  2023-06-17 17:27:58 
Batch 81 / 1000  time:  2023-06-17 17:42:21 
Batch 82 / 1000  time:  2023-06-17 17:56:40 
Batch 83 / 1000  time:  2023-06-17 18:10:55 
Batch 84 / 1000  time:  2023-06-17 18:25:21 
Batch 85 / 1000  time:  2023-06-17 18:39:44 
Batch 86 / 1000  time:  2023-06-17 18:54:07 
Batch 87 / 1000  time:  2023-06-17 19:08:23 
Batch 88 / 1000  time:  2023-06-17 19:22:38 
Batch 89 / 1000  time:  2023-06-17 19:36:53 
Batch 90 / 1000  time:  2023-06-17 19:51:12 
Batch 91 / 1000  time:  2023-06-17 20:05:26 
Batch 92 / 1000  time:  2023-06-17 20:19:50 
Batch 93 / 1000  time:  2023-06-17 20:34:06 
Batch 94 / 1000  time:  2023-06-17 20:48:23 
Batch 95 / 1000  time:  2023-06-17 21:02:39 
Batch 96 / 1000  time:  2023-06-17 21:16:56 
Batch 97 / 1000  time:  2023-06-17 21:31:20 
Batch 98 / 1000  time:  2023-06-17 21:45:43 
Batch 99 / 1000  time:  2023-06-17 22:00:04 
Batch 100 / 1000  time:  2023-06-17 22:14:29 
Batch 101 / 1000  time:  2023-06-17 22:28:58 
Batch 102 / 1000  time:  2023-06-17 22:43:13 
Batch 103 / 1000  time:  2023-06-17 22:57:34 
Batch 104 / 1000  time:  2023-06-17 23:11:58 
Batch 105 / 1000  time:  2023-06-17 23:26:22 
Batch 106 / 1000  time:  2023-06-17 23:40:38 
Batch 107 / 1000  time:  2023-06-17 23:55:04 
Batch 108 / 1000  time:  2023-06-18 00:09:19 
Batch 109 / 1000  time:  2023-06-18 00:23:43 
Batch 110 / 1000  time:  2023-06-18 00:37:58 
Batch 111 / 1000  time:  2023-06-18 00:52:16 
Batch 112 / 1000  time:  2023-06-18 01:06:31 
Batch 113 / 1000  time:  2023-06-18 01:20:46 
Batch 114 / 1000  time:  2023-06-18 01:35:17 
Batch 115 / 1000  time:  2023-06-18 01:49:31 
Batch 116 / 1000  time:  2023-06-18 02:03:49 
Batch 117 / 1000  time:  2023-06-18 02:18:07 
Batch 118 / 1000  time:  2023-06-18 02:32:22 
Batch 119 / 1000  time:  2023-06-18 02:46:37 
Batch 120 / 1000  time:  2023-06-18 03:00:54 
Batch 121 / 1000  time:  2023-06-18 03:15:09 
Batch 122 / 1000  time:  2023-06-18 03:29:33 
Batch 123 / 1000  time:  2023-06-18 03:43:48 
Batch 124 / 1000  time:  2023-06-18 03:58:04 
Batch 125 / 1000  time:  2023-06-18 04:12:27 
Batch 126 / 1000  time:  2023-06-18 04:26:50 
Batch 127 / 1000  time:  2023-06-18 04:41:13 
Batch 128 / 1000  time:  2023-06-18 04:55:37 
Batch 129 / 1000  time:  2023-06-18 05:09:54 
Batch 130 / 1000  time:  2023-06-18 05:24:14 
Batch 131 / 1000  time:  2023-06-18 05:38:29 
Batch 132 / 1000  time:  2023-06-18 05:52:44 
Batch 133 / 1000  time:  2023-06-18 06:06:58 
Batch 134 / 1000  time:  2023-06-18 06:21:13 
Batch 135 / 1000  time:  2023-06-18 06:35:36 
Batch 136 / 1000  time:  2023-06-18 06:50:00 
Batch 137 / 1000  time:  2023-06-18 07:04:15 
Batch 138 / 1000  time:  2023-06-18 07:18:39 
Batch 139 / 1000  time:  2023-06-18 07:33:01 
Batch 140 / 1000  time:  2023-06-18 07:47:19 
Batch 141 / 1000  time:  2023-06-18 08:01:34 
Batch 142 / 1000  time:  2023-06-18 08:15:56 
Batch 143 / 1000  time:  2023-06-18 08:30:22 
Batch 144 / 1000  time:  2023-06-18 08:44:44 
Batch 145 / 1000  time:  2023-06-18 08:59:17 
Batch 146 / 1000  time:  2023-06-18 09:13:39 
Batch 147 / 1000  time:  2023-06-18 09:28:03 
Batch 148 / 1000  time:  2023-06-18 09:42:21 
Batch 149 / 1000  time:  2023-06-18 09:56:53 
Batch 150 / 1000  time:  2023-06-18 10:11:07 
Batch 151 / 1000  time:  2023-06-18 10:25:30 
Batch 152 / 1000  time:  2023-06-18 10:39:51 
Batch 153 / 1000  time:  2023-06-18 10:54:15 
Batch 154 / 1000  time:  2023-06-18 11:08:33 
Batch 155 / 1000  time:  2023-06-18 11:22:49 
Batch 156 / 1000  time:  2023-06-18 11:37:04 
Batch 157 / 1000  time:  2023-06-18 11:51:19 
Batch 158 / 1000  time:  2023-06-18 12:05:42 
Batch 159 / 1000  time:  2023-06-18 12:20:05 
Batch 160 / 1000  time:  2023-06-18 12:34:29 
Batch 161 / 1000  time:  2023-06-18 12:49:01 
Batch 162 / 1000  time:  2023-06-18 13:03:17 
Batch 163 / 1000  time:  2023-06-18 13:17:32 
Batch 164 / 1000  time:  2023-06-18 13:31:54 
Batch 165 / 1000  time:  2023-06-18 13:46:25 
Batch 166 / 1000  time:  2023-06-18 14:00:41 
Batch 167 / 1000  time:  2023-06-18 14:15:04 
Batch 168 / 1000  time:  2023-06-18 14:29:27 
Batch 169 / 1000  time:  2023-06-18 14:43:42 
Batch 170 / 1000  time:  2023-06-18 14:57:57 
Batch 171 / 1000  time:  2023-06-18 15:12:22 
Batch 172 / 1000  time:  2023-06-18 15:26:44 
Batch 173 / 1000  time:  2023-06-18 15:40:59 
Batch 174 / 1000  time:  2023-06-18 15:55:31 
Batch 175 / 1000  time:  2023-06-18 16:10:03 
Batch 176 / 1000  time:  2023-06-18 16:24:26 
Batch 177 / 1000  time:  2023-06-18 16:38:44 
Batch 178 / 1000  time:  2023-06-18 16:53:05 
Batch 179 / 1000  time:  2023-06-18 17:07:24 
Batch 180 / 1000  time:  2023-06-18 17:21:48 
Batch 181 / 1000  time:  2023-06-18 17:36:06 
Batch 182 / 1000  time:  2023-06-18 17:50:34 
Batch 183 / 1000  time:  2023-06-18 18:04:48 
Batch 184 / 1000  time:  2023-06-18 18:19:04 
Batch 185 / 1000  time:  2023-06-18 18:33:19 
Batch 186 / 1000  time:  2023-06-18 18:47:38 
Batch 187 / 1000  time:  2023-06-18 19:01:58 
Batch 188 / 1000  time:  2023-06-18 19:16:17 
Batch 189 / 1000  time:  2023-06-18 19:30:35 
Batch 190 / 1000  time:  2023-06-18 19:44:58 
Batch 191 / 1000  time:  2023-06-18 19:59:14 
Batch 192 / 1000  time:  2023-06-18 20:13:44 
Batch 193 / 1000  time:  2023-06-18 20:27:58 
Batch 194 / 1000  time:  2023-06-18 20:42:13 
Batch 195 / 1000  time:  2023-06-18 20:56:35 
Batch 196 / 1000  time:  2023-06-18 21:10:57 
Batch 197 / 1000  time:  2023-06-18 21:25:12 
Batch 198 / 1000  time:  2023-06-18 21:39:37 
Batch 199 / 1000  time:  2023-06-18 21:53:54 
Batch 200 / 1000  time:  2023-06-18 22:08:08 
Batch 201 / 1000  time:  2023-06-18 22:22:30 
Batch 202 / 1000  time:  2023-06-18 22:36:43 
Batch 203 / 1000  time:  2023-06-18 22:51:09 
Batch 204 / 1000  time:  2023-06-18 23:05:25 
Batch 205 / 1000  time:  2023-06-18 23:19:51 
Batch 206 / 1000  time:  2023-06-18 23:34:17 
Batch 207 / 1000  time:  2023-06-18 23:48:41 
Batch 208 / 1000  time:  2023-06-19 00:03:07 
Batch 209 / 1000  time:  2023-06-19 00:17:26 
Batch 210 / 1000  time:  2023-06-19 00:31:44 
Batch 211 / 1000  time:  2023-06-19 00:46:09 
Batch 212 / 1000  time:  2023-06-19 01:00:39 
Batch 213 / 1000  time:  2023-06-19 01:15:04 
Batch 214 / 1000  time:  2023-06-19 01:29:21 
Batch 215 / 1000  time:  2023-06-19 01:43:43 
Batch 216 / 1000  time:  2023-06-19 01:58:04 
Batch 217 / 1000  time:  2023-06-19 02:12:30 
Batch 218 / 1000  time:  2023-06-19 02:26:50 
Batch 219 / 1000  time:  2023-06-19 02:41:12 
Batch 220 / 1000  time:  2023-06-19 02:55:35 
Batch 221 / 1000  time:  2023-06-19 03:09:58 
Batch 222 / 1000  time:  2023-06-19 03:24:17 
Batch 223 / 1000  time:  2023-06-19 03:38:39 
Batch 224 / 1000  time:  2023-06-19 03:52:56 
Batch 225 / 1000  time:  2023-06-19 04:07:21 
Batch 226 / 1000  time:  2023-06-19 04:21:39 
Batch 227 / 1000  time:  2023-06-19 04:36:00 
Batch 228 / 1000  time:  2023-06-19 04:50:26 
Batch 229 / 1000  time:  2023-06-19 05:04:46 
Batch 230 / 1000  time:  2023-06-19 05:19:10 
Batch 231 / 1000  time:  2023-06-19 05:33:31 
Batch 232 / 1000  time:  2023-06-19 05:47:51 
Batch 233 / 1000  time:  2023-06-19 06:02:10 
Batch 234 / 1000  time:  2023-06-19 06:16:29 
Batch 235 / 1000  time:  2023-06-19 06:30:47 
Batch 236 / 1000  time:  2023-06-19 06:45:08 
Batch 237 / 1000  time:  2023-06-19 06:59:27 
Batch 238 / 1000  time:  2023-06-19 07:13:52 
Batch 239 / 1000  time:  2023-06-19 07:28:10 
Batch 240 / 1000  time:  2023-06-19 07:42:27 
Batch 241 / 1000  time:  2023-06-19 07:56:43 
Batch 242 / 1000  time:  2023-06-19 08:11:07 
Batch 243 / 1000  time:  2023-06-19 08:25:24 
Batch 244 / 1000  time:  2023-06-19 08:39:40 
Batch 245 / 1000  time:  2023-06-19 08:53:59 
Batch 246 / 1000  time:  2023-06-19 09:08:31 
Batch 247 / 1000  time:  2023-06-19 09:22:56 
Batch 248 / 1000  time:  2023-06-19 09:37:19 
Batch 249 / 1000  time:  2023-06-19 09:51:43 
Batch 250 / 1000  time:  2023-06-19 10:06:16 
Batch 251 / 1000  time:  2023-06-19 10:20:32 
Batch 252 / 1000  time:  2023-06-19 10:34:49 
Batch 253 / 1000  time:  2023-06-19 10:49:08 
Batch 254 / 1000  time:  2023-06-19 11:03:33 
Batch 255 / 1000  time:  2023-06-19 11:17:57 
Batch 256 / 1000  time:  2023-06-19 11:32:13 
Batch 257 / 1000  time:  2023-06-19 11:46:39 
Batch 258 / 1000  time:  2023-06-19 12:01:10 
Batch 259 / 1000  time:  2023-06-19 12:15:27 
Batch 260 / 1000  time:  2023-06-19 12:29:53 
Batch 261 / 1000  time:  2023-06-19 12:44:09 
Batch 262 / 1000  time:  2023-06-19 12:58:23 
Batch 263 / 1000  time:  2023-06-19 13:12:47 
Batch 264 / 1000  time:  2023-06-19 13:27:19 
Batch 265 / 1000  time:  2023-06-19 13:41:42 
Batch 266 / 1000  time:  2023-06-19 13:55:57 
Batch 267 / 1000  time:  2023-06-19 14:10:12 
Batch 268 / 1000  time:  2023-06-19 14:24:39 
Batch 269 / 1000  time:  2023-06-19 14:38:54 
Batch 270 / 1000  time:  2023-06-19 14:53:09 
Batch 271 / 1000  time:  2023-06-19 15:07:27 
Batch 272 / 1000  time:  2023-06-19 15:21:43 
Batch 273 / 1000  time:  2023-06-19 15:36:06 
Batch 274 / 1000  time:  2023-06-19 15:50:29 
Batch 275 / 1000  time:  2023-06-19 16:05:01 
Batch 276 / 1000  time:  2023-06-19 16:19:25 
Batch 277 / 1000  time:  2023-06-19 16:33:53 
Batch 278 / 1000  time:  2023-06-19 16:48:08 
Batch 279 / 1000  time:  2023-06-19 17:02:24 
Batch 280 / 1000  time:  2023-06-19 17:16:39 
Batch 281 / 1000  time:  2023-06-19 17:31:02 
Batch 282 / 1000  time:  2023-06-19 17:45:25 
Batch 283 / 1000  time:  2023-06-19 17:59:44 
Batch 284 / 1000  time:  2023-06-19 18:13:59 
Batch 285 / 1000  time:  2023-06-19 18:28:13 
Batch 286 / 1000  time:  2023-06-19 18:42:36 
Batch 287 / 1000  time:  2023-06-19 18:56:58 
Batch 288 / 1000  time:  2023-06-19 19:11:22 
Batch 289 / 1000  time:  2023-06-19 19:25:37 
Batch 290 / 1000  time:  2023-06-19 19:39:52 
Batch 291 / 1000  time:  2023-06-19 19:54:07 
Batch 292 / 1000  time:  2023-06-19 20:08:38 
Batch 293 / 1000  time:  2023-06-19 20:22:52 
Batch 294 / 1000  time:  2023-06-19 20:37:07 
Batch 295 / 1000  time:  2023-06-19 20:51:25 
Batch 296 / 1000  time:  2023-06-19 21:05:40 
Batch 297 / 1000  time:  2023-06-19 21:20:04 
Batch 298 / 1000  time:  2023-06-19 21:34:30 
Batch 299 / 1000  time:  2023-06-19 21:48:51 
Batch 300 / 1000  time:  2023-06-19 22:03:06 
Batch 301 / 1000  time:  2023-06-19 22:17:23 
Batch 302 / 1000  time:  2023-06-19 22:31:48 
Batch 303 / 1000  time:  2023-06-19 22:46:08 
Batch 304 / 1000  time:  2023-06-19 23:00:25 
Batch 305 / 1000  time:  2023-06-19 23:14:51 
Batch 306 / 1000  time:  2023-06-19 23:29:12 
Batch 307 / 1000  time:  2023-06-19 23:43:34 
Batch 308 / 1000  time:  2023-06-19 23:57:57 
Batch 309 / 1000  time:  2023-06-20 00:12:22 
Batch 310 / 1000  time:  2023-06-20 00:26:44 
Batch 311 / 1000  time:  2023-06-20 00:41:10 
Batch 312 / 1000  time:  2023-06-20 00:55:32 
Batch 313 / 1000  time:  2023-06-20 01:09:52 
Batch 314 / 1000  time:  2023-06-20 01:24:14 
Batch 315 / 1000  time:  2023-06-20 01:38:34 
Batch 316 / 1000  time:  2023-06-20 01:52:57 
Batch 317 / 1000  time:  2023-06-20 02:07:21 
Batch 318 / 1000  time:  2023-06-20 02:21:49 
Batch 319 / 1000  time:  2023-06-20 02:36:10 
Batch 320 / 1000  time:  2023-06-20 02:50:30 
Batch 321 / 1000  time:  2023-06-20 03:04:50 
Batch 322 / 1000  time:  2023-06-20 03:19:14 
Batch 323 / 1000  time:  2023-06-20 03:33:40 
Batch 324 / 1000  time:  2023-06-20 03:48:15 
Batch 325 / 1000  time:  2023-06-20 04:02:36 
Batch 326 / 1000  time:  2023-06-20 04:16:57 
Batch 327 / 1000  time:  2023-06-20 04:31:16 
Batch 328 / 1000  time:  2023-06-20 04:45:39 
Batch 329 / 1000  time:  2023-06-20 05:00:01 
Batch 330 / 1000  time:  2023-06-20 05:14:28 
Batch 331 / 1000  time:  2023-06-20 05:28:48 
Batch 332 / 1000  time:  2023-06-20 05:43:15 
Batch 333 / 1000  time:  2023-06-20 05:57:38 
Batch 334 / 1000  time:  2023-06-20 06:11:58 
Batch 335 / 1000  time:  2023-06-20 06:26:19 
Batch 336 / 1000  time:  2023-06-20 06:40:40 
Batch 337 / 1000  time:  2023-06-20 06:54:59 
Batch 338 / 1000  time:  2023-06-20 07:09:20 
Batch 339 / 1000  time:  2023-06-20 07:23:42 
Batch 340 / 1000  time:  2023-06-20 07:38:11 
Batch 341 / 1000  time:  2023-06-20 07:52:30 
Batch 342 / 1000  time:  2023-06-20 08:06:52 
Batch 343 / 1000  time:  2023-06-20 08:21:16 
Batch 344 / 1000  time:  2023-06-20 08:35:38 
Batch 345 / 1000  time:  2023-06-20 08:49:59 
Batch 346 / 1000  time:  2023-06-20 09:04:23 
Batch 347 / 1000  time:  2023-06-20 09:18:46 
Batch 348 / 1000  time:  2023-06-20 09:33:10 
Batch 349 / 1000  time:  2023-06-20 09:47:30 
Batch 350 / 1000  time:  2023-06-20 10:01:48 
Batch 351 / 1000  time:  2023-06-20 10:16:13 
Batch 352 / 1000  time:  2023-06-20 10:30:35 
Batch 353 / 1000  time:  2023-06-20 10:45:00 
Batch 354 / 1000  time:  2023-06-20 10:59:28 
Batch 355 / 1000  time:  2023-06-20 11:13:53 
Batch 356 / 1000  time:  2023-06-20 11:28:14 
Batch 357 / 1000  time:  2023-06-20 11:42:35 
Batch 358 / 1000  time:  2023-06-20 11:56:54 
Batch 359 / 1000  time:  2023-06-20 12:11:13 
Batch 360 / 1000  time:  2023-06-20 12:25:32 
Batch 361 / 1000  time:  2023-06-20 12:39:53 
Batch 362 / 1000  time:  2023-06-20 12:54:15 
Batch 363 / 1000  time:  2023-06-20 13:08:38 
Batch 364 / 1000  time:  2023-06-20 13:23:05 
Batch 365 / 1000  time:  2023-06-20 13:37:30 
Batch 366 / 1000  time:  2023-06-20 13:51:51 
Batch 367 / 1000  time:  2023-06-20 14:06:25 
Batch 368 / 1000  time:  2023-06-20 14:20:51 
Batch 369 / 1000  time:  2023-06-20 14:35:14 
Batch 370 / 1000  time:  2023-06-20 14:49:33 
Batch 371 / 1000  time:  2023-06-20 15:03:53 
Batch 372 / 1000  time:  2023-06-20 15:18:13 
Batch 373 / 1000  time:  2023-06-20 15:32:33 
Batch 374 / 1000  time:  2023-06-20 15:46:55 
Batch 375 / 1000  time:  2023-06-20 16:01:19 
Batch 376 / 1000  time:  2023-06-20 16:15:39 
Batch 377 / 1000  time:  2023-06-20 16:29:58 
Batch 378 / 1000  time:  2023-06-20 16:44:13 
Batch 379 / 1000  time:  2023-06-20 16:58:32 
Batch 380 / 1000  time:  2023-06-20 17:12:50 
Batch 381 / 1000  time:  2023-06-20 17:27:10 
Batch 382 / 1000  time:  2023-06-20 17:41:29 
Batch 383 / 1000  time:  2023-06-20 17:55:51 
Batch 384 / 1000  time:  2023-06-20 18:10:15 
Batch 385 / 1000  time:  2023-06-20 18:24:37 
Batch 386 / 1000  time:  2023-06-20 18:39:00 
Batch 387 / 1000  time:  2023-06-20 18:53:24 
Batch 388 / 1000  time:  2023-06-20 19:07:46 
Batch 389 / 1000  time:  2023-06-20 19:22:06 
Batch 390 / 1000  time:  2023-06-20 19:36:27 
Batch 391 / 1000  time:  2023-06-20 19:50:46 
Batch 392 / 1000  time:  2023-06-20 20:05:09 
Batch 393 / 1000  time:  2023-06-20 20:19:27 
Batch 394 / 1000  time:  2023-06-20 20:33:48 
Batch 395 / 1000  time:  2023-06-20 20:48:06 
Batch 396 / 1000  time:  2023-06-20 21:02:27 
Batch 397 / 1000  time:  2023-06-20 21:16:47 
Batch 398 / 1000  time:  2023-06-20 21:31:08 
Batch 399 / 1000  time:  2023-06-20 21:45:27 
Batch 400 / 1000  time:  2023-06-20 21:59:47 
Batch 401 / 1000  time:  2023-06-20 22:14:09 
Batch 402 / 1000  time:  2023-06-20 22:28:28 
Batch 403 / 1000  time:  2023-06-20 22:42:48 
Batch 404 / 1000  time:  2023-06-20 22:57:07 
Batch 405 / 1000  time:  2023-06-20 23:11:34 
Batch 406 / 1000  time:  2023-06-20 23:25:59 
Batch 407 / 1000  time:  2023-06-20 23:40:19 
Batch 408 / 1000  time:  2023-06-20 23:54:36 
Batch 409 / 1000  time:  2023-06-21 00:08:59 
Batch 410 / 1000  time:  2023-06-21 00:23:29 
Batch 411 / 1000  time:  2023-06-21 00:37:49 
Batch 412 / 1000  time:  2023-06-21 00:52:14 
Batch 413 / 1000  time:  2023-06-21 01:06:38 
Batch 414 / 1000  time:  2023-06-21 01:21:05 
Batch 415 / 1000  time:  2023-06-21 01:35:24 
Batch 416 / 1000  time:  2023-06-21 01:49:44 
Batch 417 / 1000  time:  2023-06-21 02:04:06 
Batch 418 / 1000  time:  2023-06-21 02:18:25 
Batch 419 / 1000  time:  2023-06-21 02:32:45 
Batch 420 / 1000  time:  2023-06-21 02:47:04 
Batch 421 / 1000  time:  2023-06-21 03:01:24 
Batch 422 / 1000  time:  2023-06-21 03:15:45 
Batch 423 / 1000  time:  2023-06-21 03:30:04 
Batch 424 / 1000  time:  2023-06-21 03:44:28 
Batch 425 / 1000  time:  2023-06-21 03:58:48 
Batch 426 / 1000  time:  2023-06-21 04:13:07 
Batch 427 / 1000  time:  2023-06-21 04:27:28 
Batch 428 / 1000  time:  2023-06-21 04:41:59 
Batch 429 / 1000  time:  2023-06-21 04:56:20 
Batch 430 / 1000  time:  2023-06-21 05:10:40 
Batch 431 / 1000  time:  2023-06-21 05:24:59 
Batch 432 / 1000  time:  2023-06-21 05:39:25 
Batch 433 / 1000  time:  2023-06-21 05:53:43 
Batch 434 / 1000  time:  2023-06-21 06:08:09 
Batch 435 / 1000  time:  2023-06-21 06:22:27 
Batch 436 / 1000  time:  2023-06-21 06:36:54 
Batch 437 / 1000  time:  2023-06-21 06:51:17 
Batch 438 / 1000  time:  2023-06-21 07:05:42 
Batch 439 / 1000  time:  2023-06-21 07:20:04 
Batch 440 / 1000  time:  2023-06-21 07:34:25 
Batch 441 / 1000  time:  2023-06-21 07:48:44 
Batch 442 / 1000  time:  2023-06-21 08:03:02 
Batch 443 / 1000  time:  2023-06-21 08:17:21 
Batch 444 / 1000  time:  2023-06-21 08:31:47 
Batch 445 / 1000  time:  2023-06-21 08:46:05 
Batch 446 / 1000  time:  2023-06-21 09:00:26 
Batch 447 / 1000  time:  2023-06-21 09:14:46 
Batch 448 / 1000  time:  2023-06-21 09:29:04 
Batch 449 / 1000  time:  2023-06-21 09:43:32 
Batch 450 / 1000  time:  2023-06-21 09:57:58 
Batch 451 / 1000  time:  2023-06-21 10:12:15 
Batch 452 / 1000  time:  2023-06-21 10:26:40 
Batch 453 / 1000  time:  2023-06-21 10:41:02 
Batch 454 / 1000  time:  2023-06-21 10:55:25 
Batch 455 / 1000  time:  2023-06-21 11:09:48 
Batch 456 / 1000  time:  2023-06-21 11:24:07 
Batch 457 / 1000  time:  2023-06-21 11:38:25 
Batch 458 / 1000  time:  2023-06-21 11:52:50 
Batch 459 / 1000  time:  2023-06-21 12:07:18 
Batch 460 / 1000  time:  2023-06-21 12:21:37 
Batch 461 / 1000  time:  2023-06-21 12:36:02 
Batch 462 / 1000  time:  2023-06-21 12:50:28 
Batch 463 / 1000  time:  2023-06-21 13:04:48 
Batch 464 / 1000  time:  2023-06-21 13:19:06 
Batch 465 / 1000  time:  2023-06-21 13:33:24 
Batch 466 / 1000  time:  2023-06-21 13:47:42 
Batch 467 / 1000  time:  2023-06-21 14:02:02 
Batch 468 / 1000  time:  2023-06-21 14:16:24 
Batch 469 / 1000  time:  2023-06-21 14:30:49 
Batch 470 / 1000  time:  2023-06-21 14:45:16 
Batch 471 / 1000  time:  2023-06-21 14:59:40 
Batch 472 / 1000  time:  2023-06-21 15:13:58 
Batch 473 / 1000  time:  2023-06-21 15:28:30 
Batch 474 / 1000  time:  2023-06-21 15:42:50 
Batch 475 / 1000  time:  2023-06-21 15:57:10 
Batch 476 / 1000  time:  2023-06-21 16:11:38 
Batch 477 / 1000  time:  2023-06-21 16:26:01 
Batch 478 / 1000  time:  2023-06-21 16:40:26 
Batch 479 / 1000  time:  2023-06-21 16:54:44 
Batch 480 / 1000  time:  2023-06-21 17:09:11 
Batch 481 / 1000  time:  2023-06-21 17:23:36 
Batch 482 / 1000  time:  2023-06-21 17:37:59 
Batch 483 / 1000  time:  2023-06-21 17:52:19 
Batch 484 / 1000  time:  2023-06-21 18:06:46 
Batch 485 / 1000  time:  2023-06-21 18:21:11 
Batch 486 / 1000  time:  2023-06-21 18:35:33 
Batch 487 / 1000  time:  2023-06-21 18:49:56 
Batch 488 / 1000  time:  2023-06-21 19:04:17 
Batch 489 / 1000  time:  2023-06-21 19:18:42 
Batch 490 / 1000  time:  2023-06-21 19:33:09 
Batch 491 / 1000  time:  2023-06-21 19:47:30 
Batch 492 / 1000  time:  2023-06-21 20:01:50 
Batch 493 / 1000  time:  2023-06-21 20:16:11 
Batch 494 / 1000  time:  2023-06-21 20:30:30 
Batch 495 / 1000  time:  2023-06-21 20:44:56 
Batch 496 / 1000  time:  2023-06-21 20:59:17 
