Empirical aplication  indonesianRice  has began at: 2023-06-30 16:36:20 
Batch 191 / 1000  time:  2023-07-01 23:28:14 
Batch 192 / 1000  time:  2023-07-01 23:37:50 
Batch 193 / 1000  time:  2023-07-01 23:47:28 
Batch 194 / 1000  time:  2023-07-01 23:57:02 
Batch 195 / 1000  time:  2023-07-02 00:06:38 
Batch 196 / 1000  time:  2023-07-02 00:16:19 
Batch 197 / 1000  time:  2023-07-02 00:25:55 
Batch 198 / 1000  time:  2023-07-02 00:35:41 
Batch 199 / 1000  time:  2023-07-02 00:45:17 
Batch 200 / 1000  time:  2023-07-02 00:55:04 
Batch 201 / 1000  time:  2023-07-02 01:04:40 
Batch 202 / 1000  time:  2023-07-02 01:14:26 
Batch 203 / 1000  time:  2023-07-02 01:24:16 
Batch 204 / 1000  time:  2023-07-02 01:33:54 
Batch 205 / 1000  time:  2023-07-02 01:43:41 
Batch 206 / 1000  time:  2023-07-02 01:53:21 
Batch 207 / 1000  time:  2023-07-02 02:02:56 
Batch 208 / 1000  time:  2023-07-02 02:12:38 
Batch 209 / 1000  time:  2023-07-02 02:22:14 
Batch 210 / 1000  time:  2023-07-02 02:32:07 
Batch 211 / 1000  time:  2023-07-02 02:41:57 
Batch 212 / 1000  time:  2023-07-02 02:51:41 
Batch 213 / 1000  time:  2023-07-02 03:01:19 
Batch 214 / 1000  time:  2023-07-02 03:10:57 
Batch 215 / 1000  time:  2023-07-02 03:20:36 
Batch 216 / 1000  time:  2023-07-02 03:30:18 
Batch 217 / 1000  time:  2023-07-02 03:40:03 
Batch 218 / 1000  time:  2023-07-02 03:49:51 
Batch 219 / 1000  time:  2023-07-02 03:59:33 
Batch 220 / 1000  time:  2023-07-02 04:09:12 
Batch 221 / 1000  time:  2023-07-02 04:18:54 
Batch 222 / 1000  time:  2023-07-02 04:28:30 
Batch 223 / 1000  time:  2023-07-02 04:38:11 
Batch 224 / 1000  time:  2023-07-02 04:47:59 
Batch 225 / 1000  time:  2023-07-02 04:57:34 
Batch 226 / 1000  time:  2023-07-02 05:07:11 
Batch 227 / 1000  time:  2023-07-02 05:16:49 
Batch 228 / 1000  time:  2023-07-02 05:26:25 
Batch 229 / 1000  time:  2023-07-02 05:36:02 
Batch 230 / 1000  time:  2023-07-02 05:45:41 
Batch 231 / 1000  time:  2023-07-02 05:55:21 
Batch 232 / 1000  time:  2023-07-02 06:04:57 
Batch 233 / 1000  time:  2023-07-02 06:14:32 
Batch 234 / 1000  time:  2023-07-02 06:24:08 
Batch 235 / 1000  time:  2023-07-02 06:33:42 
Batch 236 / 1000  time:  2023-07-02 06:43:21 
Batch 237 / 1000  time:  2023-07-02 06:52:55 
Batch 238 / 1000  time:  2023-07-02 07:02:33 
Batch 239 / 1000  time:  2023-07-02 07:12:15 
Batch 240 / 1000  time:  2023-07-02 07:21:50 
Batch 241 / 1000  time:  2023-07-02 07:31:29 
Batch 242 / 1000  time:  2023-07-02 07:41:07 
Batch 243 / 1000  time:  2023-07-02 07:50:43 
Batch 244 / 1000  time:  2023-07-02 08:00:20 
Batch 245 / 1000  time:  2023-07-02 08:09:54 
Batch 246 / 1000  time:  2023-07-02 08:19:31 
Batch 247 / 1000  time:  2023-07-02 08:29:05 
Batch 248 / 1000  time:  2023-07-02 08:38:40 
Batch 249 / 1000  time:  2023-07-02 08:48:20 
Batch 250 / 1000  time:  2023-07-02 08:57:56 
Batch 251 / 1000  time:  2023-07-02 09:07:31 
Batch 252 / 1000  time:  2023-07-02 09:17:06 
Batch 253 / 1000  time:  2023-07-02 09:26:44 
Batch 254 / 1000  time:  2023-07-02 09:36:24 
Batch 255 / 1000  time:  2023-07-02 09:46:06 
Batch 256 / 1000  time:  2023-07-02 09:55:41 
Batch 257 / 1000  time:  2023-07-02 10:05:15 
Batch 258 / 1000  time:  2023-07-02 10:14:48 
Batch 259 / 1000  time:  2023-07-02 10:24:26 
Batch 260 / 1000  time:  2023-07-02 10:34:07 
Batch 261 / 1000  time:  2023-07-02 10:43:43 
Batch 262 / 1000  time:  2023-07-02 10:53:17 
Batch 263 / 1000  time:  2023-07-02 11:02:51 
Batch 264 / 1000  time:  2023-07-02 11:12:36 
Batch 265 / 1000  time:  2023-07-02 11:22:21 
Batch 266 / 1000  time:  2023-07-02 11:32:03 
Batch 267 / 1000  time:  2023-07-02 11:41:51 
Batch 268 / 1000  time:  2023-07-02 11:51:35 
Batch 269 / 1000  time:  2023-07-02 12:01:25 
Batch 270 / 1000  time:  2023-07-02 12:11:14 
Batch 271 / 1000  time:  2023-07-02 12:20:47 
Batch 272 / 1000  time:  2023-07-02 12:30:26 
Batch 273 / 1000  time:  2023-07-02 12:40:08 
Batch 274 / 1000  time:  2023-07-02 12:49:41 
Batch 275 / 1000  time:  2023-07-02 12:59:15 
Batch 276 / 1000  time:  2023-07-02 13:08:48 
Batch 277 / 1000  time:  2023-07-02 13:18:21 
Batch 278 / 1000  time:  2023-07-02 13:27:55 
Batch 279 / 1000  time:  2023-07-02 13:37:29 
Batch 280 / 1000  time:  2023-07-02 13:47:08 
Batch 281 / 1000  time:  2023-07-02 13:56:41 
Batch 282 / 1000  time:  2023-07-02 14:06:20 
Batch 283 / 1000  time:  2023-07-02 14:16:00 
Batch 284 / 1000  time:  2023-07-02 14:25:34 
Batch 285 / 1000  time:  2023-07-02 14:35:07 
Batch 286 / 1000  time:  2023-07-02 14:44:40 
Batch 287 / 1000  time:  2023-07-02 14:54:13 
Batch 288 / 1000  time:  2023-07-02 15:03:57 
Batch 289 / 1000  time:  2023-07-02 15:13:34 
Batch 290 / 1000  time:  2023-07-02 15:23:08 
Batch 291 / 1000  time:  2023-07-02 15:32:42 
Batch 292 / 1000  time:  2023-07-02 15:42:16 
Batch 293 / 1000  time:  2023-07-02 15:51:55 
Batch 294 / 1000  time:  2023-07-02 16:01:34 
Batch 295 / 1000  time:  2023-07-02 16:11:08 
Batch 296 / 1000  time:  2023-07-02 16:20:48 
Batch 297 / 1000  time:  2023-07-02 16:30:23 
Batch 298 / 1000  time:  2023-07-02 16:39:57 
Batch 299 / 1000  time:  2023-07-02 16:49:37 
Batch 300 / 1000  time:  2023-07-02 16:59:11 
Batch 301 / 1000  time:  2023-07-02 17:08:47 
Batch 302 / 1000  time:  2023-07-02 17:18:30 
Batch 303 / 1000  time:  2023-07-02 17:28:04 
Batch 304 / 1000  time:  2023-07-02 17:37:40 
Batch 305 / 1000  time:  2023-07-02 17:47:14 
Batch 306 / 1000  time:  2023-07-02 17:56:49 
Batch 307 / 1000  time:  2023-07-02 18:06:22 
Batch 308 / 1000  time:  2023-07-02 18:15:56 
Batch 309 / 1000  time:  2023-07-02 18:25:33 
Batch 310 / 1000  time:  2023-07-02 18:35:06 
Batch 311 / 1000  time:  2023-07-02 18:44:41 
Batch 312 / 1000  time:  2023-07-02 18:54:16 
Batch 313 / 1000  time:  2023-07-02 19:03:54 
Batch 314 / 1000  time:  2023-07-02 19:13:29 
Batch 315 / 1000  time:  2023-07-02 19:23:04 
Batch 316 / 1000  time:  2023-07-02 19:32:50 
Batch 317 / 1000  time:  2023-07-02 19:42:30 
Batch 318 / 1000  time:  2023-07-02 19:52:03 
Batch 319 / 1000  time:  2023-07-02 20:01:40 
Batch 320 / 1000  time:  2023-07-02 20:11:17 
Batch 321 / 1000  time:  2023-07-02 20:20:54 
Batch 322 / 1000  time:  2023-07-02 20:30:31 
Batch 323 / 1000  time:  2023-07-02 20:40:09 
Batch 324 / 1000  time:  2023-07-02 20:49:46 
Batch 325 / 1000  time:  2023-07-02 20:59:22 
Batch 326 / 1000  time:  2023-07-02 21:09:01 
Batch 327 / 1000  time:  2023-07-02 21:18:40 
Batch 328 / 1000  time:  2023-07-02 21:28:19 
Batch 329 / 1000  time:  2023-07-02 21:37:52 
Batch 330 / 1000  time:  2023-07-02 21:47:35 
Batch 331 / 1000  time:  2023-07-02 21:57:15 
Batch 332 / 1000  time:  2023-07-02 22:06:51 
Batch 333 / 1000  time:  2023-07-02 22:16:30 
Batch 334 / 1000  time:  2023-07-02 22:26:13 
Batch 335 / 1000  time:  2023-07-02 22:35:47 
Batch 336 / 1000  time:  2023-07-02 22:45:22 
Batch 337 / 1000  time:  2023-07-02 22:54:58 
Batch 338 / 1000  time:  2023-07-02 23:04:38 
Batch 339 / 1000  time:  2023-07-02 23:14:17 
Batch 340 / 1000  time:  2023-07-02 23:23:57 
Batch 341 / 1000  time:  2023-07-02 23:33:35 
Batch 342 / 1000  time:  2023-07-02 23:43:09 
Batch 343 / 1000  time:  2023-07-02 23:52:43 
Batch 344 / 1000  time:  2023-07-03 00:02:22 
Batch 345 / 1000  time:  2023-07-03 00:12:02 
Batch 346 / 1000  time:  2023-07-03 00:21:41 
Batch 347 / 1000  time:  2023-07-03 00:31:21 
Batch 348 / 1000  time:  2023-07-03 00:41:01 
Batch 349 / 1000  time:  2023-07-03 00:50:40 
Batch 350 / 1000  time:  2023-07-03 01:00:26 
Batch 351 / 1000  time:  2023-07-03 01:10:02 
Batch 352 / 1000  time:  2023-07-03 01:19:39 
Batch 353 / 1000  time:  2023-07-03 01:29:14 
Batch 354 / 1000  time:  2023-07-03 01:38:53 
Batch 355 / 1000  time:  2023-07-03 01:48:26 
Batch 356 / 1000  time:  2023-07-03 01:58:04 
Batch 357 / 1000  time:  2023-07-03 02:07:42 
Batch 358 / 1000  time:  2023-07-03 02:17:20 
Batch 359 / 1000  time:  2023-07-03 02:27:03 
Batch 360 / 1000  time:  2023-07-03 02:36:41 
Batch 361 / 1000  time:  2023-07-03 02:46:15 
Batch 362 / 1000  time:  2023-07-03 02:55:53 
Batch 363 / 1000  time:  2023-07-03 03:05:29 
Batch 364 / 1000  time:  2023-07-03 03:15:17 
Batch 365 / 1000  time:  2023-07-03 03:24:56 
Batch 366 / 1000  time:  2023-07-03 03:34:35 
Batch 367 / 1000  time:  2023-07-03 03:44:12 
Batch 368 / 1000  time:  2023-07-03 03:53:56 
Batch 369 / 1000  time:  2023-07-03 04:03:29 
Batch 370 / 1000  time:  2023-07-03 04:13:12 
Batch 371 / 1000  time:  2023-07-03 04:22:50 
Batch 372 / 1000  time:  2023-07-03 04:32:24 
Batch 373 / 1000  time:  2023-07-03 04:42:02 
Batch 374 / 1000  time:  2023-07-03 04:51:41 
Batch 375 / 1000  time:  2023-07-03 05:01:15 
Batch 376 / 1000  time:  2023-07-03 05:10:55 
Batch 377 / 1000  time:  2023-07-03 05:20:32 
Batch 378 / 1000  time:  2023-07-03 05:30:10 
Batch 379 / 1000  time:  2023-07-03 05:39:50 
Batch 380 / 1000  time:  2023-07-03 05:49:30 
Batch 381 / 1000  time:  2023-07-03 05:59:13 
Batch 382 / 1000  time:  2023-07-03 06:08:49 
Batch 383 / 1000  time:  2023-07-03 06:18:25 
Batch 384 / 1000  time:  2023-07-03 06:28:00 
Batch 385 / 1000  time:  2023-07-03 06:37:39 
Batch 386 / 1000  time:  2023-07-03 06:47:19 
Batch 387 / 1000  time:  2023-07-03 06:56:52 
Batch 388 / 1000  time:  2023-07-03 07:06:35 
Batch 389 / 1000  time:  2023-07-03 07:16:18 
Batch 390 / 1000  time:  2023-07-03 07:25:52 
Batch 391 / 1000  time:  2023-07-03 07:35:30 
Batch 392 / 1000  time:  2023-07-03 07:45:03 
Batch 393 / 1000  time:  2023-07-03 07:54:38 
Batch 394 / 1000  time:  2023-07-03 08:04:15 
Batch 395 / 1000  time:  2023-07-03 08:13:55 
Batch 396 / 1000  time:  2023-07-03 08:23:33 
Batch 397 / 1000  time:  2023-07-03 08:33:11 
Batch 398 / 1000  time:  2023-07-03 08:42:44 
Batch 399 / 1000  time:  2023-07-03 08:52:20 
Batch 400 / 1000  time:  2023-07-03 09:01:58 
Batch 401 / 1000  time:  2023-07-03 09:11:31 
Batch 402 / 1000  time:  2023-07-03 09:21:04 
Batch 403 / 1000  time:  2023-07-03 09:30:36 
Batch 404 / 1000  time:  2023-07-03 09:40:13 
Batch 405 / 1000  time:  2023-07-03 09:49:55 
Batch 406 / 1000  time:  2023-07-03 09:59:33 
Batch 407 / 1000  time:  2023-07-03 10:09:11 
Batch 408 / 1000  time:  2023-07-03 10:18:48 
Batch 409 / 1000  time:  2023-07-03 10:28:25 
Batch 410 / 1000  time:  2023-07-03 10:38:00 
Batch 411 / 1000  time:  2023-07-03 10:47:36 
Batch 412 / 1000  time:  2023-07-03 10:57:13 
Batch 413 / 1000  time:  2023-07-03 11:06:49 
Batch 414 / 1000  time:  2023-07-03 11:16:34 
Batch 415 / 1000  time:  2023-07-03 11:26:20 
Batch 416 / 1000  time:  2023-07-03 11:35:59 
Batch 417 / 1000  time:  2023-07-03 11:45:38 
Batch 418 / 1000  time:  2023-07-03 11:55:19 
Batch 419 / 1000  time:  2023-07-03 12:04:57 
Batch 420 / 1000  time:  2023-07-03 12:14:40 
Batch 421 / 1000  time:  2023-07-03 12:24:20 
Batch 422 / 1000  time:  2023-07-03 12:33:57 
Batch 423 / 1000  time:  2023-07-03 12:43:33 
Batch 424 / 1000  time:  2023-07-03 12:53:11 
Batch 425 / 1000  time:  2023-07-03 13:02:54 
Batch 426 / 1000  time:  2023-07-03 13:12:38 
Batch 427 / 1000  time:  2023-07-03 13:22:18 
Batch 428 / 1000  time:  2023-07-03 13:31:57 
Batch 429 / 1000  time:  2023-07-03 13:41:32 
Batch 430 / 1000  time:  2023-07-03 13:51:08 
Batch 431 / 1000  time:  2023-07-03 14:00:42 
Batch 432 / 1000  time:  2023-07-03 14:10:24 
Batch 433 / 1000  time:  2023-07-03 14:19:58 
Batch 434 / 1000  time:  2023-07-03 14:29:31 
Batch 435 / 1000  time:  2023-07-03 14:39:11 
Batch 436 / 1000  time:  2023-07-03 14:48:46 
Batch 437 / 1000  time:  2023-07-03 14:58:21 
Batch 438 / 1000  time:  2023-07-03 15:08:00 
Batch 439 / 1000  time:  2023-07-03 15:17:35 
Batch 440 / 1000  time:  2023-07-03 15:27:10 
Batch 441 / 1000  time:  2023-07-03 15:36:44 
Batch 442 / 1000  time:  2023-07-03 15:46:25 
Batch 443 / 1000  time:  2023-07-03 15:56:02 
Batch 444 / 1000  time:  2023-07-03 16:05:36 
Batch 445 / 1000  time:  2023-07-03 16:15:11 
Batch 446 / 1000  time:  2023-07-03 16:24:45 
Batch 447 / 1000  time:  2023-07-03 16:34:18 
Batch 448 / 1000  time:  2023-07-03 16:43:56 
Batch 449 / 1000  time:  2023-07-03 16:53:32 
Batch 450 / 1000  time:  2023-07-03 17:03:10 
Batch 451 / 1000  time:  2023-07-03 17:12:46 
Batch 452 / 1000  time:  2023-07-03 17:22:20 
Batch 453 / 1000  time:  2023-07-03 17:31:57 
Batch 454 / 1000  time:  2023-07-03 17:41:34 
Batch 455 / 1000  time:  2023-07-03 17:51:07 
Batch 456 / 1000  time:  2023-07-03 18:00:45 
Batch 457 / 1000  time:  2023-07-03 18:10:20 
Batch 458 / 1000  time:  2023-07-03 18:19:59 
Batch 459 / 1000  time:  2023-07-03 18:29:34 
Batch 460 / 1000  time:  2023-07-03 18:39:08 
Batch 461 / 1000  time:  2023-07-03 18:48:44 
Batch 462 / 1000  time:  2023-07-03 18:58:20 
Batch 463 / 1000  time:  2023-07-03 19:08:03 
Batch 464 / 1000  time:  2023-07-03 19:17:37 
Batch 465 / 1000  time:  2023-07-03 19:27:14 
Batch 466 / 1000  time:  2023-07-03 19:36:51 
Batch 467 / 1000  time:  2023-07-03 19:46:24 
Batch 468 / 1000  time:  2023-07-03 19:55:59 
Batch 469 / 1000  time:  2023-07-03 20:05:47 
Batch 470 / 1000  time:  2023-07-03 20:15:21 
Batch 471 / 1000  time:  2023-07-03 20:24:56 
Batch 472 / 1000  time:  2023-07-03 20:34:35 
Batch 473 / 1000  time:  2023-07-03 20:44:08 
Batch 474 / 1000  time:  2023-07-03 20:53:42 
Batch 475 / 1000  time:  2023-07-03 21:03:24 
Batch 476 / 1000  time:  2023-07-03 21:12:59 
Batch 477 / 1000  time:  2023-07-03 21:22:32 
Batch 478 / 1000  time:  2023-07-03 21:32:06 
Batch 479 / 1000  time:  2023-07-03 21:41:40 
Batch 480 / 1000  time:  2023-07-03 21:51:14 
Batch 481 / 1000  time:  2023-07-03 22:00:47 
Batch 482 / 1000  time:  2023-07-03 22:10:25 
Batch 483 / 1000  time:  2023-07-03 22:20:03 
Batch 484 / 1000  time:  2023-07-03 22:29:40 
Batch 485 / 1000  time:  2023-07-03 22:39:13 
Batch 486 / 1000  time:  2023-07-03 22:48:48 
Batch 487 / 1000  time:  2023-07-03 22:58:27 
Batch 488 / 1000  time:  2023-07-03 23:08:08 
Batch 489 / 1000  time:  2023-07-03 23:17:42 
Batch 490 / 1000  time:  2023-07-03 23:27:23 
Batch 491 / 1000  time:  2023-07-03 23:36:56 
Batch 492 / 1000  time:  2023-07-03 23:46:29 
Batch 493 / 1000  time:  2023-07-03 23:56:10 
Batch 494 / 1000  time:  2023-07-04 00:05:48 
Batch 495 / 1000  time:  2023-07-04 00:15:23 
Batch 496 / 1000  time:  2023-07-04 00:24:57 
